Brand,Phone,Website,Order by Phone,Order Online,Photo Filename,Order through an online retailer,Established Grocery or Indepedent Health Food store,Farm/Retail Store,Find at Farmers Markets (needs to be broken out from grocery locations)
Love Raw Foods - Blue Mountain Organics,(540) 745-5040,http://bluemountainorganics.com/loverawfoods/,No,Yes,Love_Raw_Foods_-_Blue_Mountain_Organics,Yes,Yes,,
LoveTree Farmstead,(715) 488-2966,http://www.lovetreefarmstead.com,Yes,Yes,LoveTree_Farmstead,,No,,
Lucini Italia,(800) 509-8491,http://www.lucini.com/,No,Yes,Lucini_Italia,,Yes,No,No
Lummi Island Wild Co-op,,http://www.lummiislandwild.com/,No,Yes,Lummi_Island_Wild_Co-op,No,No,No,No
Lundberg Family Farms,(530) 538-3500,http://www.lundberg.com/,No,No,Lundberg_Family_Farms,Yes,Yes,No,No
Lupa's Kitchen,(470) 375-4654,http://lupaskitchen.com/,No,No,Lupa's_Kitchen,No,Yes,No,No
Lydia's Organics,(707) 792-5300,http://www.lydiasorganics.com,No,No,Lydia's_Organics,Yes,Yes,No,No
Made In Nature,(800) 906-7426,http://www.madeinnature.com,No,Yes,Made_In_Nature,Yes,Yes,Yes,No
Madhava,(800) 530-2900,http://www.madhavasweeteners.com/,No,No,Madhava,Yes,Yes,,
Mae Ploy,,,No,No,Mae_Ploy,Yes,Yes,No,No
Maine Coast Sea Vegetables,(207) 565-2907,www.seaveg.com,Yes,Yes,Maine_Coast_Sea_Vegetables,,No,Yes,No
Maine Seaweed Company,(207) 546-2875,http://www.theseaweedman.com/,Yes,Yes,Maine_Seaweed_Company,,No,No,No
Maldon,,http://www.maldonsalt.co.uk/,No,No,Maldon,Yes,Yes,No,No
Manna Organics,(630) 795-0500,http://www.mannaorganicbakery.com/,No,Yes,Manna_Organics,,Yes,No,No
Many Hands Organic Farm,(978) 355-2853,http://mhof.net,No,No,Many_Hands_Organic_Farm,No,No,,
Maple Hill Creamery,(518) 758-7777,http://www.maplehillcreamery.com,No,No,Maple_Hill_Creamery,No,Yes,,
Maple Hill Farm,(800) 543-5379,http://maplehillfarms.biz,No,Yes,Maple_Hill_Farm,,No,,
Maple Syrup Producers' Cooperative,(819) 362-3241,http://www.citadelle-camp.coop,No,Yes,Maple_Syrup_Producers'_Cooperative,,Yes,,
Maple Valley,(800) 760-1449,http://www.maplevalleysyrup.coop,No,Yes,Maple_Valley,,Yes,No,No
MaraNatha,,,,,,,,Yes,No
Marilyn Jarzembski,(419) 237-3095,http://www.kefirlady.com,Yes,No,Marilyn_Jarzembski,No,No,Yes,
Marinella,(732) 364-1724,http://www.sanmarzanoimports.com/,Yes,Yes,Marinella,,No,No,No
Market Pantry,(800) 440-0680,http://www.target.com/c/market-pantry-brand-shop/-/N-5d90z,No,Yes,Market_Pantry,,Yes,Yes,Yes
Marky's,(800) 522-8427,http://www.markys.com,Yes,Yes,Marky's,,No,No,No
Marshall's Farm Natural Honey,(800) 624-4637,www.marshallshoney.com,Yes,Yes,Marshall's_Farm_Natural_Honey,,Yes,Yes,Yes
Marx Foods,(866) 588-6279,http://www.marxfoods.com/,Yes,Yes,Marx_Foods,,No,No,No
Mary Jane's Farm,(888) 750-6004,http://www.maryjanesfarm.org,Yes,Yes,Mary_Jane's_Farm,,No,,
Mary's,(888) 666-8244,http://www.marysturkeys.com,Yes,No,Mary's,Yes,Yes,No,No
Mary's Gone Crackers,(925) 258-1200,http://www.marysgonecrackers.com/,No,Yes,Mary's_Gone_Crackers,,Yes,Yes,
Mascavo,(800) 656-3668,http://www.matefactor.com,No,Yes,Mascavo,,No,No,No
Massa Organics,(530) 519-8628,http://www.massaorganics.com/,No,Yes,Massa_Organics,,No,,
Matt's Munchies,(888) 718-1860,http://www.chefrobertsdirect.com/,No,Yes,Matt's_Munchies,,Yes,,
Matyah's,(866) 634-3336,http://www.matyah.com/,Yes,No,Matyah's,No,No,,
Mauk Family Farm,(714) 547-7977,maukfamilyfarms.com,Yes,Yes,Mauk_Family_Farm,,No,,
McCann's,(866) 958-6287,http://www.mccanns.ie/,No,No,McCann's,Yes,Yes,Yes,Yes
McCormick Gourmet Collection,(800) 632-5847,http://www.mccormickgourmet.com/,No,,McCormick_Gourmet_Collection,Yes,Yes,No,No
McEvoy Ranch,(866) 617-6779,http://www.mcevoyranch.com/,No,Yes,McEvoy_Ranch,,Yes,No,No
McIlhenny Co. Tabasco,(800) 634-9599,http://www.tabasco.com,No,Yes,McIlhenny_Co._Tabasco,,Yes,,
Meadow Creek Dairy,(888) 236-0622,http://www.meadowcreekdairy.com,No,No,Meadow_Creek_Dairy,No,Yes,,
Meadow Made Farm,(330) 674-1289,,Yes,No,Meadow_Made_Farm,No,No,No,No
Meadow Raised,(315) 829-5437,http://www.meadowraisedmeats.com/,No,Yes,Meadow_Raised,,No,No,No
Meadow Ridge Farm,(717) 530-5999,,Yes,No,Meadow_Ridge_Farm,Yes,No,No,No
Meadowview Jerseys,(717) 656-2261,,Yes,No,Meadowview_Jerseys,No,No,,
Mediterranean Organic,,http://www.mediterraneanorganic.com/,No,Yes,Mediterranean_Organic,,Yes,No,No
Megumi,(707) 827-1788,http://www.meguminatto.com/,No,Yes,Megumi,,Yes,Yes,No
Merchants & Millers,(707) 799-2888,http://merchantsandmillers.com/,No,Yes,Merchants_&_Millers,No,Yes,No,No
Mercola,(877) 985-2695,http://www.mercola.com/,Yes,Yes,Mercola,,No,No,No
Mestiza,(480) 639-0652,http://www.mestizacocosugar.com,Yes,No,Mestiza,No,No,No,No
Mi Rancho Tortilla Factory,(707) 584-8385,http://www.miranchoretail.com/,Yes,No,Mi_Rancho_Tortilla_Factory,No,No,No,No
Middle Earth,,,No,No,Middle_Earth,Yes,No,No,No
Mighty Leaf Tea Company,(877) 698-5323,http://www.mightyleaf.com/,No,Yes,Mighty_Leaf_Tea_Company,,Yes,,
Miller's Organic Farm,(717) 556-0672,http://millersorganicfarm.com/,Yes,No,Miller's_Organic_Farm,Yes,No,,
Minerva Dairy,(330) 868-4196,www.minervadairy.com/,No,Yes,Minerva_Dairy,,No,,
Minsley,(909) 458-1100,http://www.minsley.com,No,No,Minsley,Yes,Yes,,
Mint Creek Farm,(815) 256-2202,http://mintcreekfarm.com/,No,Yes,Mint_Creek_Farm,,Yes,No,No
Miso Master,(800) 334-5809,great-eastern-sun.com,No,Yes,Miso_Master,,Yes,No,No
Misty Creek Goat Dairy,(717) 656-4628,,Yes,No,Misty_Creek_Goat_Dairy,Yes,Yes,,
Mitoku,(800) 324-1878,http://www.mitoku.com/,Yes,No,Mitoku,Yes,Yes,No,No
Moonwise Herbs,(920) 452-4372,http://www.moonwiseherbs.com,No,Yes,Moonwise_Herbs,,No,No,No
More Than Gourmet,(800) 860-9385,http://www.morethangourmet.com,No,Yes,More_Than_Gourmet,Yes,No,No,No
Morse's,(866) 832-5569,http://www.morsessauerkraut.com,No,No,Morse's,No,No,,
Morton & Bassett Spices,(866) 972-6879,http://www.mortonbassett.com/,Yes,Yes,Morton_&_Bassett,,Yes,No,No
Mosefund Farm,(253) 833-7591,http://woolypigs.com/,Yes,Yes,Wooly_Pigs,,No,,
Mother Linda's,,www.motherlindas.com,No,Yes,Mother_Linda's,,No,,
Mountain Organic Foods,(925) 377-0119,,No,No,Bear_(Mountain_Organic_Foods),No,Yes,Yes,No
Mountain Rose Herbs,(800) 879-3337,http://www.mountainroseherbs.com/,Yes,Yes,Mountain_Rose_Herbs,,No,No,No
Mountain View Dairy,(315) 858-0536,,Yes,No,Mountain_View_Dairy,No,Yes,,
Mrs Leeper's,,http://mrsleepers.com,No,No,Mrs_Leeper's,Yes,Yes,No,No
Mrs. May's,(310) 830-3130,http://mrsmays.com/,No,No,Mrs._May's,Yes,Yes,Yes,
Mrs. Nisley's,(330) 893-2734,,Yes,No,Mrs._Nisley's,,Yes,No,No
Mt. Sterling,(866) 289-4628,http://buymtsterlinggoatcheese.com/,Yes,Yes,Mt._Sterling,,No,,
Mumm's Sprouting Seeds,(306) 747-2935,sprouting.com,No,Yes,Mumm's_Sprouting_Seeds,,Yes,,
MW Polar Foods,(888) 496-9187,http://www.mwpolar.com/salmon.html,No,No,MW_Polar_Foods,Yes,Yes,,
Naked,(877) 858-4237,http://www.nakedjuice.com/,No,No,Naked,Yes,Yes,,
Nana's Cocina (Abuelita Mexican Foods),(703) 369-0232,http://www.abuelita.com,No,No,Nana's_Cocina_(Abuelita_Mexican_Foods),No,Yes,,
Napa Valley Naturals,(866) 972-6879,http://www.napavalleynaturals.com/,Yes,Yes,Napa_Valley_Naturals,,Yes,No,No
Narvon Natural Acres,(717) 768-3263,,Yes,No,Narvon_Natural_Acres,No,No,Yes,Yes
Nash Brothers Trading Company,,http://www.nashbrotherstrading.com/,No,Yes,Nash_Brothers_Trading_Company,,Yes,No,No
Native Forest (Edward and Son's),(805) 684-8500,http://www.edwardandsons.com,No,Yes,Native_Forest_(Edward_and_Son's),,Yes,,
Natren,(866) 462-8736,http://www.natren.com,Yes,Yes,Natren,,Yes,,
Natural by Nature,(610) 268-6962,http://www.natural-by-nature.com/,No,No,Natural_by_Nature,No,Yes,,
Natural Choice,(805) 485-1127,,No,No,Natural_Choice,Yes,Yes,Yes,No
Natural Health Advocates,(888) 257-8775,http://www.building-health.com,No,Yes,Natural_Health_Advocates,,No,No,No
Natural Lifestyle,(800) 752-2775,http://natural-lifestyle.com/,Yes,Yes,Natural_Lifestyle,No,No,No,No
Natural Rush,,,No,No,Natural_Rush,Yes,Yes,Yes,Yes
Natural Sea,,,No,No,Natural_Sea,Yes,Yes,No,No
Natural Valley,(319) 656-4220,http://www.kalonaorganics.com/our_nvcheese.html,No,No,Natural_Valley,No,Yes,No,No
Natural Value,(916) 427-7242,http://www.naturalvalue.com/,No,No,Natural_Value,Yes,Yes,,
Natural Zing,(301) 703-4116,www.naturalzing.com,Yes,Yes,Natural_Zing,,No,No,No
Nature Factor,(805) 684-8500,http://www.edwardandsons.com/nfact_shop_coconutwater.itml,No,Yes,Nature_Factor,Yes,Yes,Yes,Yes
Nature's All Foods,,http://www.naturesallfoods.com/,No,Yes,Nature's_All_Foods,Yes,Yes,No,No
Nature's Answer,(1800) 439-2324,http://www.naturesanswer.com/,Yes,Yes,Nature's_Answer,Yes,Yes,,
Nature's Approved,(914) 428-6800,www.naturesapproved.com,No,Yes,Nature's_Approved,,No,Yes,Yes
Nature's Blessings,(626) 935-0770,http://www.naturesblessings.com.ph/,No,Yes,Nature's Blessings,No,Yes,,
Nature's Cargo,(888) 725-8386,www.naturescargo.ca,Yes,Yes,Nature's_Cargo,,No,No,No
Nature's Flavors,(714) 744-3700,www.naturesflavors.com,Yes,Yes,Nature's_Flavors,,No,No,No
Nature's Sunlight Farm,(717) 776-3417,,Yes,No,Nature's_Sunlight_Farm,No,No,,
Nature's Way,(800) 962-8873,http://www.naturesway.com/Home.aspx,No,No,Nature's_Way,Yes,Yes,Yes,No
Naturespirit Herbs,(541) 846-7995,http://www.naturespiritherbs.com,Yes,No,Naturespirit_Herbs,No,No,No,No
Navitas Naturals,(888) 645-4282,http://navitasnaturals.com/,No,Yes,Navitas_Naturals,,Yes,,
Neese's,(800) 632-1010,http://www.neesesausage.com,No,Yes,Neese's,,No,,
Nevermore Farm,(530) 574-3597,http://www.nevermorefarm.com/,Yes,No,Nevermore_Farm,No,No,Yes,Yes
New Earth,(512) 354-1140,http://www.newearthcenter.com,Yes,Yes,New_Earth,,No,No,No
New England Cheesemaking Supply,(413) 628-3808,http://www.cheesemaking.com/,Yes,Yes,New_England_Cheesemaking_Supply,,No,,
Ney's Big Sky,(414) 254-2664,http://www.neysbigsky.com/,Yes,Yes,Ney's_Big_Sky,,No,No,No
Nick's Natural Nook,,http://stores.ebay.com/Nicks-Natural-Nook,No,Yes,Nick's_Natural_Nook,No,No,No,No
Nikki's Coconut Butter,,http://www.nikkiscoconutbutter.com/,No,Yes,Nikki's_Coconut_Butter,No,No,,
Niman Ranch,,http://www.nimanranch.com/Index.aspx,No,Yes,Niman_Ranch,No,Yes,No,No
Nittany Valley Organics,(570) 726-7799,,Yes,No,Nittany_Valley_Organics,Yes,Yes,No,No
NoGii,(800) 447-4795,http://www.nogii.com,No,Yes,NoGii,Yes,Yes,,
Noirmoutier,,,No,No,Noirmoutier,Yes,Yes,Yes,No
NoniLand,(805) 870-5756,http://www.longevitywarehouse.com/,Yes,Yes,NoniLand,Yes,No,No,No
Northeast Family Farms,(800) 777-2648,http://www.northeastfamilyfarms.com/,Yes,No,Northeast_Family_Farms,No,No,,
Northstar Bison,(888) 295-6332,http://www.northstarbison.com/,Yes,Yes,Northstar,,Yes,No,No
NOW Foods,(888) 669-3663,http://www.nowfoods.com/,No,No,NOW_Foods,Yes,Yes,,
NSI,(800) 669-8877,http://nutraceutical.com/,No,No,NSI,Yes,Yes,No,No
Nueske's,(800) 392-2266,www.nueskes.com,Yes,Yes,Nueske's,,Yes,No,No
NåÏåÐez de Prado,,http://www.deprado.eu/,No,No,NåÏåÐez_de_Prado,Yes,Yes,,
Nutiva,(800) 993-4367,http://nutiva.com/,Yes,Yes,Nutiva,,Yes,No,No
Nuts.com,(800) 558-6887,nuts.com,Yes,Yes,Nuts.com,,No,No,No
NuttZo,(888) 325-0553,https://gonuttzo.com,No,Yes,NuttZo,Yes,Yes,No,No
O Bread Bakery,(802) 985-8771,http://www.obread.com/,No,No,O_Bread_Bakery,No,Yes,No,No
O.N.E.,,www.onedrinks.com/_,No,Yes,O.N.E.,Yes,Yes,,
Oaklyn Plantation,(843) 395-0793,http://www.freerangechicken.com/,Yes,Yes,Oaklyn_Plantation,,No,No,Yes
Oasis at Bird-in-Hand,(717) 288-2154,http://www.reallivefood.org,Yes,Yes,Oasis_at_Bird-in-Hand,No,Yes,Yes,Yes
Officer,,,No,No,Officer,Yes,Yes,Yes,Yes
Ohsawa,(800) 475-3663,goldminenaturalfoods.com,No,Yes,Ohsawa,No,Yes,No,
Ojio,(800) 728-2066,http://myojio.com/,No,Yes,Ojio,,Yes,,
Okonatur,(888) 963-9540,http://www.organicsoverseas.com/,Yes,Yes,Okonatur,,No,,
Old Chatham,(1888) 743-3760,http://www.blacksheepcheese.com/,No,Yes,Old_Chatham,No,Yes,,
Olea Estates,(636) 405-1960,http://www.oleaestates.com/,Yes,Yes,Olea_Estates,,Yes,,
OliFlix,(855) 654-3549,http://oliflixus.com/,No,Yes,,No,No,,
Olio Beato,(888) 421-6546,http://www.organicoil.com/,No,Yes,Olio_Beato,,No,Yes,Yes
Oliver Farms,(810) 793-7289,http://www.oliverfarms.com/,Yes,No,Oliver_Farms,No,Yes,,
Olli Salumeria,(877) 655-4937,www.olli.com,No,No,Olli_Salumeria,Yes,Yes,No,No
Omega Nutrition,(800) 661-3529,http://www.omeganutrition.com/,No,Yes,Omega_Nutrition,,No,,
Once Again,(888) 800-8075,https://www.onceagainnutbutter.com,No,Yes,Once_Again,Yes,Yes,No,No
One Degree Organic Foods,(855) 834-2642,http://onedegreeorganics.com/,No,No,One_Degree_Organic_Foods,No,Yes,No,No
Optimally Organic,(888) 211-4263,http://www.optimallyorganic.net/,Yes,Yes,Optimally_Organic,,No,No,No
Orca Bay Seafoods,(800) 932-6722,www.orcabayseafoods.com,No,Yes,Orca_Bay_Seafoods,Yes,Yes,Yes,
Orchard Hill Breadworks,(603) 835-7845,http://orchardhillbreadworks.com,No,No,Orchard_Hill_Breadworks,No,Yes,No,No
Oregon's Choice,(877) 289-8862,www.oregonschoice.com,Yes,Yes,Oregon's_Choice,,No,No,No
Organic Pastures,(877) 729-6455,http://www.organicpastures.com/,Yes,No,Organic_Pastures,No,Yes,,
Organic Prairie,(877) 662-6328,http://www.organicprairie.com,Yes,Yes,Organic_Prairie,,Yes,No,No
Organic Traditions,8003041497,https://www.facebook.com/organictraditionsofficial,No,No,Organic_Traditions,Yes,No,No,No
Organic Valley,(888) 444-6455,http://www.organicvalley.coop/,No,No,Organic_Valley,Yes,Yes,No,No
Organic Wine Company,(888) 326-9463,http://www.theorganicwinecompany.com/,Yes,Yes,Organic_Wine_Company,,No,No,No
Organicville,,http://organicvillefoods.com,No,Yes,Organicville,Yes,Yes,No,No
original himalayan crystal salt,(888) 668-3661,http://www.himalayancrystalsalt.com/,No,Yes,original_himalayan_crystal_salt,Yes,Yes,No,No
Original Living Coconut,(800) 906-3064,http://originallivingcoconut.com,No,Yes,Original_Living_Coconut,,No,,
Orleans Coffee Exchange,(504) 827-0878,www.orleanscoffee.com,Yes,Yes,Orleans_Coffee_Exchange,,Yes,No,No
Ortega,,http://www.ortega.com/,No,No,Ortega,Yes,Yes,Yes,No
Oscar Mayer Selects,(877) 535-5666,http://www.kraftbrands.com/oscarmayer/,No,No,Oscar_Mayer_Selects,Yes,Yes,No,No
Oskri,(920) 648-8300,http://www.oskri.com/,No,Yes,Oskri,,Yes,No,No
Oswald Cattle Company,(719) 942-4361,http://www.oswaldgrassfedbeef.com,Yes,No,Oswald_Cattle_Company,No,No,Yes,Yes
Otolith Sustainable Seafood,(215) 426-4266,www.otolithonline.com,Yes,No,Otolith_Sustainable_Seafood,No,No,No,No
Oyler's Organic Farms,(717) 677-8411,http://www.oylersorganicfarms.com/,No,Yes,Oyler's_Organic_Farms,No,No,,
P. A. Bowen Farmstead,(301) 579-2727,pabowenfarmstead.com,Yes,,P._A._Bowen_Farmstead,No,Yes,No,No
P.A. Tropical Products,(718) 763-5888,,No,No,P.A._Tropical_Products,No,Yes,No,No
Page River Bottom Farm,(559) 638-3124,http://www.pageriverbottomfarm.com/,Yes,No,Page_River_Bottom_Farm,No,No,,
PaiDom Meats,(806) 945-2473,www.paidom.com/,No,Yes,PaiDom_Meats,,No,No,
Palacios Autentico,,,No,No,Palacios_Autentico,Yes,Yes,,
Paleo Treats,,http://www.paleotreats.com/,No,Yes,Paleo_Treats,No,No,,
Pangaia,(808) 965-9988,http://pangaiapantree.com/,No,Yes,Pangaia,,No,No,No
Paradise Pastures,(717) 687-8576,,Yes,No,Paradise_Pastures,Yes,No,No,No
Park's,,,No,No,Park's,Yes,Yes,Yes,No
Pastene,(888) 727-8363,http://www.pastene.com/,No,Yes,Pastene,,Yes,No,No
Pasture Prime Family Farm,(352) 266-9504,http://www.pastureprimewagyu.com/,Yes,Yes,Pasture_Prime_Family_Farm,,No,Yes,No
Pasture Verde,(877) 455-3063,http://www.vitalfarms.com/otherbrands_pastureverde.html,No,No,Pasture_Verde,No,Yes,Yes,Yes
PastureLand,(608) 438-2626,http://www.pastureland.coop/,No,No,PastureLand,No,Yes,,
Pavel's,(510) 352-1474,http://www.pavels.net/,No,No,Pavel's,No,Yes,,
Peaceful Pastures,(615) 683-4291,http://www.peacefulpastures.com/,No,Yes,Peaceful_Pastures,,No,,
Pecan Shop,(254) 307-9386,http://www.pecanshop.com/,No,Yes,Pecan_Shop,No,Yes,No,No
Peeled Snacks,(212) 706-2001,http://www.peeledsnacks.com/,No,Yes,Peeled_Snacks,,Yes,No,No
Penzeys Spices,(800) 741-7787,http://www.penzeys.com/,Yes,Yes,Penzeys,,No,No,No
Pequea Valley Farm,(215) 275-3435,http://commonmarketphila.org/pequea-valley-farms/,No,No,Pequea_Valley_Farm,,Yes,,
Perfect,(866) 802-3860,http://www.perfectsupplements.com,Yes,Yes,Perfect,,Yes,,
Perfect Addition,(425) 251-8750,http://www.cpff.net/list.php?category=24&type=brand&brand=PERFECT+ADDITIONS,No,Yes,Perfect_Addition,No,Yes,No,No
Pero,(973) 338-1499,http://internaturalfoods.com/brands/pero.html,No,Yes,Pero,Yes,Yes,,
Perrier,,http://www.perrier.com,No,No,Perrier,Yes,Yes,,
Petaluma Poultry,(800) 556-6789,http://www.petalumapoultry.com/,No,No,Petaluma_Poultry,No,Yes,,
Pete's Paleo,,http://petespaleo.com/,No,Yes,Pete's_Paleo,No,No,No,No
Pickapeppa,(800) 335-7425,http://www.pickapeppa.com/,Yes,Yes,Pickapeppa,,Yes,No,No
Pickled Planet,(541) 201-2689,pickledplanet.com,No,No,Pickled_Planet,Yes,Yes,,
Pillar Rock,(206) 285-6800,http://www.oceanbeauty.com/our-brands-2/pillar-rock/,No,No,Pillar_Rock,Yes,Yes,No,No
Pinn-Oak Ridge Farms,(262) 728-9629,http://www.wisconsinlamb.com/,No,Yes,Pinn-Oak_Ridge_Farms,,Yes,Yes,
PJ Ranch,(772) 283-1874,http://pjranchhoney.com/,No,Yes,PJ_Ranch,No,Yes,,
Plantation,(732) 636-2060,http://www.alliedoldenglish.com/index.php/brands/plantation/plantation-organic-blackstrap-molasses.html,No,Yes,Plantation,Yes,Yes,No,No
Pleasant Hill Farm,(269) 561-2850,http://www.pleasanthillblueberryfarm.com/,Yes,Yes,Pleasant_Hill_Farm,,No,,
Pleasant Hill Grains,(1800) 321-1073,http://www.pleasanthillgrain.com/,Yes,Yes,Pleasant_Hill_Grains,No,No,,
Pleasant Pastures,(717) 768-3437,,Yes,No,Pleasant_Pastures,Yes,Yes,,
Pleasanton Brick Oven Bakery,(231) 941-1964,http://pleasantonbakery.com/,Yes,Yes,Pleasanton_Brick_Oven_Bakery,,No,No,No
Plummer's Sugar House,(802) 843-2207,http://www.plummerssugarhouse.com,Yes,Yes,Plummer's_Sugar_House,No,No,,
Pockets of the Future,,pocketsofthefuture.com,No,Yes,Pockets_of_the_Future,,No,No,No
Pocono,(315) 536-3311,http://thebirkettmills.com,No,Yes,Pocono,,No,No,No
Point Reyes,(800) 591-6878,http://www.pointreyescheese.com,Yes,Yes,Point_Reyes,,Yes,No,No
Polar Power (North American Herb and Spice),(800) 243-5242,http://www.northamericanherbandspice.com/,No,No,Polar_Power_(North_American_Herb_and_Spice),Yes,Yes,No,No
Polyface Farm,(540) 885-3590,http://www.polyfacefarms.com/,No,Yes,Polyface_Farm,,Yes,No,No
Potter's,(608) 663-5005,http://www.potterscrackers.com/,No,Yes,Potter's,,Yes,No,No
Prairie Pride Farm,(866) 245-7675,www.prairiepridepork.com/,Yes,Yes,Prairie_Pride_Farm,,Yes,No,No
Prather Ranch Meat Co.,,http://prmeatco.com/,No,No,Prather_Ranch_Meat_Co.,No,Yes,No,No
Premier Research Labs,(800) 325-7734,http://www.prlabs.com/,No,Yes,Premier_Research_Labs,,No,,
Primal Pacs,,primalpacs.com,No,Yes,Primal_Pacs,,No,No,No
Prime Select,(888) 870-7292,http://www.pssifish.com/,Yes,Yes,Prime_Select,,No,No,No
Primo Naturale,(877) 467-2331,http://www.primonaturale.com/,No,Yes,Primo_Naturale,No,Yes,,
Promised Land Dairy,(877) 671-2626,http://www.promisedlanddairy.com/,No,No,Promised_Land_Dairy,No,Yes,,
ProNatura,(800) 555-7580,http://www.pronaturainc.com/,Yes,Yes,ProNatura,,Yes,No,No
Prunotto,,,No,No,Prunotto,Yes,No,No,No
Purcell Mountain Farms,(208) 267-0627,http://www.purcellmountainfarms.com/,No,Yes,Purcell_Mountain_Farms,,No,,
Pure Indian Foods,(877) 588-4433,http://www.pureindianfoods.com/,No,Yes,Pure_Indian_Foods,Yes,Yes,No,No
Pure Planet,(562) 951-1124,http://www.pureplanet.com/,Yes,Yes,Pure_Planet,,No,No,No
Puritan's Pride,(800) 645-1030,http://www.puritan.com/,Yes,Yes,Puritan's_Pride,,No,Yes,No
Purity Farms,(877) 211-4819,http://www.purityfarms.com/,Yes,No,Purity_Farms,Yes,No,,
Quaker,(1800) 367-6287,http://www.quakeroats.com/products/hot-cereals/old-fashioned-oats.aspx,No,Yes,Quaker,Yes,Yes,,
R.W. Knudsen,(888) 569-6993,http://www.rwknudsenfamily.com,No,No,R.W._Knudsen,No,Yes,No,No
Radiant Life,(888) 593-8333,http://www.radiantlifecatalog.com/,Yes,Yes,Radiant_Life,,No,Yes,No
Raincoast Trading,,http://www.raincoasttrading.com/,No,No,Raincoast_Trading,No,Yes,Yes,Yes
Ranch Foods Direct,(866) 866-6328,http://ranchfoodsdirect.com/,Yes,Yes,Ranch_Foods_Direct,,No,No,No
Rapunzel,,http://www.rapunzel.de/,No,No,Rapunzel,Yes,No,No,No
Raw Crunch,,http://www.rawcrunchbar.com/,No,Yes,Raw_Crunch,Yes,Yes,No,No
Raw from the Farm,(510) 394-4729,http://www.rawfromthefarm.com/Pages/default.aspx,No,Yes,Raw_from_the_Farm,,No,No,No
RawGuru,(800) 518-0727,www.rawguru.com/_,No,Yes,RawGuru,,No,,
Rawmio,(800) 518-0727,http://www.rawmio.com/,No,Yes,Rawmio,No,No,No,No
RawOne Food,(954) 922-1315,http://www.rawonefood.com,No,Yes,RawOne_Food,Yes,Yes,Yes,No
Rawtella,none,,No,No,Rawtella,Yes,Yes,Yes,No
Real Bone Broth,,http://www.realbonebroth.com/,No,No,Real_Bone_Broth,Yes,No,No,No
Real Pickles,(413) 774-2600,http://www.realpickles.com/,No,Yes,Real_Pickles,,Yes,No,No
Really Raw,(800) 732-5729,http://www.reallyrawhoney.com/,Yes,Yes,Really_Raw,,Yes,,
Reallygoods,(608) 692-1918,http://www.reallygoods.net/,No,Yes,Reallygoods,No,Yes,No,No
Red Boat,(925) 858-0508,http://www.redboatfishsauce.com/,No,Yes,Red_Boat,,Yes,No,No
Redmond's,(330) 545-3700,http://www.peanutfreefoods.com/,No,Yes,Redmond's,No,Yes,,
Redwood Hill,(707) 823-8250,http://www.redwoodhill.com/,No,Yes,Redwood_Hill,,Yes,No,No
Reed's,(800) 997-3337,http://reedsinc.com/,No,Yes,Reed's,Yes,Yes,No,
Rejoice-in-Life,,http://www.rejoiceinlife.com/,Yes,No,Rejoice-in-Life,No,No,No,No
Rejuvenative Foods,(800) 805-7957,http://www.rejuvenative.com/,Yes,Yes,Rejuvenative_Foods,,Yes,No,No
Rhythm Superfoods,(512) 441-5667,http://rhythmsuperfoods.com/,No,Yes,Rhythm_Superfoods,Yes,Yes,Yes,Yes
Ribbon Road Farm,(716) 326-6150,http://www.ribbonroadfarm.com,No,Yes,,No,No,No,No
Ribbon Road Farms,(585) 750-0182,http://www.ribbonroadfarm.com/,No,Yes,Ribbon_Road_Farms,No,No,,
RiceSelect,(800) 993-7423,http://www.riceselect.com/,No,No,RiceSelect,Yes,Yes,,
Rigoni Di Asiago,(786) 282-7186,http://rigonidiasiago-usa.com,No,No,Rigoni_Di_Asiago,Yes,Yes,,
Rigoni di Asiago,,www.selinanaturally.com,No,Yes,Rigoni_di_Asiago,Yes,No,No,No
Rising Tide Sea Vegetables,(707) 964-5663,http://www.loveseaweed.com/,No,Yes,Rising_Tide_Sea_Vegetables,No,Yes,,
Rizopia,(416) 609-8820,http://rizopia.com/,No,No,Rizopia,Yes,No,,
Robinson Farm,(413) 477-6988,http://www.robinsonfarm.org/,No,Yes,Robinson_Farm,No,Yes,No,No
Rock House Farm,(828) 391-6881,http://www.rockhousefarm.info/,Yes,No,Rock_House_Farm,No,No,No,No
Rocky Mountain Organic Meats,(877) 754-4606,http://www.rockymtncuts.com/,No,Yes,Rocky_Mountain_Organic_Meats,,No,,
"Rocky Plains, LLP",(970) 217-7985,http://www.rockyplains.com/,Yes,No,"Rocky Plains, LLP",No,Yes,No,No
Rocky Ridge Dairy,(717) 284-0466,,Yes,No,Rocky_Ridge_Dairy,No,No,,
Rogue Creamery,(541) 665-1155,http://www.roguecreamery.com/store/,Yes,Yes,Rogue_Creamery,,Yes,Yes,Yes
Roland,(800) 221-4030,http://www.rolandfood.com/,No,Yes,Roland,Yes,Yes,No,No
Roman Meal,(800) 922-0017,http://www.romanmeal.com/,No,Yes,Roman_Meal,,Yes,,
Romanoff,(1800) 999-1835,http://www.romanoffcaviar.com/,No,No,Romanoff,Yes,Yes,,
Rosdea,(410) 329-3068,http://www.rosedabeef.com/,No,Yes,Rosdea,,Yes,No,No
